t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9298E-6,2988,163.54,2824.5,1.51460000000024E-4
3.9301E-6,2988.1,163.61,2824.5,1.66291187499994E-4
3.9303E-6,2988.1,163.68,2824.4,1.73469000000002E-4
3.9306E-6,2988.1,163.75,2824.4,1.85552625000016E-4
3.9308E-6,2988.2,163.82,2824.3,1.94523624999987E-4
3.9311E-6,2988.2,163.89,2824.3,2.10490000000019E-4
3.9313E-6,2988.2,163.95,2824.2,2.09693749999992E-4
3.9315E-6,2988.2,164.02,2824.2,2.05044375E-4
3.9317E-6,2988.2,164.08,2824.2,2.00871E-4
3.9319E-6,2988.3,164.15,2824.1,1.9672900000002E-4
3.9321E-6,2988.3,164.21,2824.1,2.07799500000032E-4
3.9323E-6,2988.3,164.27,2824,2.39262999999984E-4
3.9325E-6,2988.3,164.33,2824,2.47409750000004E-4
3.9326E-6,2988.3,164.39,2823.9,2.51391571428566E-4
3.9328E-6,2988.3,164.45,2823.9,2.60200749999982E-4
3.933E-6,2988.4,164.51,2823.9,2.69365250000021E-4
3.9331E-6,2988.4,164.58,2823.8,2.74351499999979E-4
3.9333E-6,2988.4,164.64,2823.8,2.84651E-4
3.9334E-6,2988.4,164.7,2823.7,2.89859750000024E-4
3.9336E-6,2988.4,164.76,2823.7,3.01162750000011E-4
3.9337E-6,2988.4,164.82,2823.6,3.07474E-4
3.9339E-6,2988.5,164.89,2823.6,3.20085999999969E-4
3.934E-6,2988.5,164.95,2823.5,3.27027500000014E-4
3.9342E-6,2988.5,165.01,2823.5,3.41737750000037E-4
3.9343E-6,2988.5,165.07,2823.4,3.48636499999985E-4
3.9344E-6,2988.5,165.13,2823.4,3.55752500000008E-4
3.9346E-6,2988.5,165.19,2823.3,3.70953625000045E-4
3.9347E-6,2988.5,165.26,2823.3,3.79400499999982E-4
3.9348E-6,2988.5,165.32,2823.2,3.87432750000008E-4
3.9349E-6,2988.6,165.38,2823.2,3.96035499999989E-4
3.935E-6,2988.6,165.44,2823.1,4.05879874999973E-4
3.9351E-6,2988.6,165.51,2823.1,4.13460499999986E-4
3.9352E-6,2988.6,165.57,2823,4.23351000000012E-4
3.9354E-6,2988.6,165.63,2823,4.44582624999974E-4
3.9355E-6,2988.6,165.7,2822.9,4.5342949999998E-4
3.9356E-6,2988.6,165.77,2822.9,4.67113E-4
3.9357E-6,2988.6,165.83,2822.8,4.77091750000026E-4
3.9358E-6,2988.6,165.9,2822.7,4.85804499999947E-4
3.9359E-6,2988.7,165.97,2822.7,5.01951250000039E-4
3.936E-6,2988.7,166.04,2822.6,5.13711E-4
3.9361E-6,2988.7,166.11,2822.6,5.13037999999875E-4
3.9362E-6,2988.7,166.18,2822.5,5.03829499999909E-4
3.9363E-6,2988.7,166.25,2822.4,5.0950024999999E-4
3.9364E-6,2988.7,166.33,2822.4,4.94742E-4
3.9365E-6,2988.7,166.4,2822.3,5.41086250000021E-4
3.9366E-6,2988.7,166.47,2822.3,5.30237500000146E-4
3.9367E-6,2988.7,166.55,2822.2,5.23338250000024E-4
3.9368E-6,2988.7,166.63,2822.1,5.3784E-4
3.9369E-6,2988.8,166.71,2822,5.49196250000029E-4
3.937E-6,2988.8,166.78,2822,5.5528571428569E-4
3.9371E-6,2988.8,166.85,2821.9,5.69635500000019E-4
3.9372E-6,2988.8,166.93,2821.9,5.92580749999981E-4
3.9372E-6,2988.8,167.01,2821.8,5.92580749999981E-4
3.9373E-6,2988.8,167.08,2821.7,6.07035000000038E-4
3.9374E-6,2988.8,167.16,2821.6,6.1294937499999E-4
