t [s],Q [C]
3.92E-6,3.9197375E-15
3.9205E-6,3.9206436E-15
3.921E-6,3.9215519E-15
3.9215E-6,3.9224622E-15
3.922E-6,3.9233745E-15
3.9225E-6,3.9242886E-15
3.923E-6,3.9252046E-15
3.9235E-6,3.9261225E-15
3.924E-6,3.9270423E-15
3.9245E-6,3.9279645E-15
3.925E-6,3.9288885E-15
3.9255E-6,3.929814E-15
3.926E-6,3.9307413E-15
3.9265E-6,3.9316705E-15
3.927E-6,3.9326018E-15
3.9275E-6,3.9335353E-15
3.928E-6,3.9344711E-15
3.9285E-6,3.9354092E-15
3.929E-6,3.9363502E-15
3.9295E-6,3.9372934E-15
3.93E-6,3.9382391E-15
3.9305E-6,3.9391875E-15
3.931E-6,3.9401387E-15
3.9315E-6,3.9410928E-15
3.932E-6,3.9420498E-15
3.9325E-6,3.9430099E-15
3.933E-6,3.9439732E-15
3.9335E-6,3.9449396E-15
3.934E-6,3.9459091E-15
3.9345E-6,3.9468818E-15
3.935E-6,3.9478579E-15
3.9355E-6,3.9488372E-15
3.936E-6,3.94982E-15
3.9365E-6,3.9508062E-15
3.937E-6,3.951796E-15
3.9375E-6,3.9527894E-15
3.938E-6,3.9537866E-15
3.9385E-6,3.9547877E-15
3.939E-6,3.9557928E-15
3.9395E-6,3.9568022E-15
3.94E-6,3.957816E-15
3.9405E-6,3.9588343E-15
3.941E-6,3.9598576E-15
3.9415E-6,3.960886E-15
3.942E-6,3.9619199E-15
3.9425E-6,3.9629596E-15
3.943E-6,3.9640057E-15
3.9435E-6,3.9650587E-15
3.944E-6,3.9661192E-15
3.9445E-6,3.9671882E-15
3.945E-6,3.9682667E-15
3.9455E-6,3.9693562E-15
3.946E-6,3.9704591E-15
3.9465E-6,3.9715789E-15
3.947E-6,3.9727231E-15
3.9475E-6,3.973906E-15
3.949E-6,4.0035875E-15
3.95E-6,4.0064978E-15
3.951E-6,4.0100695E-15
3.952E-6,4.1003049E-15
3.953E-6,1.4260859E-13
3.954E-6,1.6818353E-12
3.956E-6,1.4228982E-11
3.957E-6,2.31924E-11
3.958E-6,3.2927907E-11
3.959E-6,4.333076E-11
3.96E-6,5.3843422E-11
3.961E-6,6.3913294E-11
3.962E-6,7.2711972E-11
3.963E-6,7.9648845E-11
3.964E-6,8.5648718E-11
3.965E-6,9.3362375E-11
3.966E-6,1.0638444E-10
3.967E-6,1.2780878E-10
3.968E-6,1.599045E-10
3.969E-6,2.0414604E-10
3.97E-6,2.6131833E-10
3.971E-6,3.316152E-10
3.972E-6,4.148815E-10
3.973E-6,5.1096846E-10
3.974E-6,6.1980323E-10
3.975E-6,7.4133019E-10
3.976E-6,8.7551895E-10
3.977E-6,1.0221616E-9
3.978E-6,1.1809241E-9
3.979E-6,1.3520891E-9
3.98E-6,1.5357709E-9
3.981E-6,1.7308567E-9
3.982E-6,1.9374856E-9
3.983E-6,2.1558677E-9
3.984E-6,2.3850506E-9
3.985E-6,2.6235653E-9
3.986E-6,2.871483E-9
3.987E-6,3.1264905E-9
3.988E-6,3.3867157E-9
3.989E-6,3.6501406E-9
3.99E-6,3.9163982E-9
3.991E-6,4.1831824E-9
3.992E-6,4.447816E-9
3.993E-6,4.7090208E-9
3.994E-6,4.9646518E-9
3.995E-6,5.2119012E-9
3.996E-6,5.4479723E-9
3.997E-6,5.6696603E-9
3.998E-6,5.8731279E-9
3.999E-6,6.0549842E-9
4E-6,6.2146016E-9
4.001E-6,6.348834E-9
4.0020357E-6,6.4779368E-9
4.0030714E-6,6.5932746E-9
4.0041071E-6,6.6983022E-9
4.0051429E-6,6.7927372E-9
4.0061786E-6,6.8778781E-9
4.0072143E-6,6.9561415E-9
4.00825E-6,7.0280088E-9
4.0092857E-6,7.0934929E-9
4.0103214E-6,7.1528274E-9
4.0113571E-6,7.2065649E-9
4.0123929E-6,7.2550981E-9
4.0134286E-6,7.2988791E-9
4.0144643E-6,7.338572E-9
4.0155E-6,7.3747131E-9
4.0165357E-6,7.4077085E-9
4.0175714E-6,7.4378625E-9
4.0186071E-6,7.4654759E-9
4.0196429E-6,7.490878E-9
4.0206786E-6,7.5143513E-9
4.0217143E-6,7.5361363E-9
4.02275E-6,7.5564129E-9
4.0237857E-6,7.5753055E-9
4.0248214E-6,7.5924313E-9
4.0258571E-6,7.6086623E-9
4.0268929E-6,7.6242719E-9
4.0279286E-6,7.6392361E-9
4.0289643E-6,7.6536234E-9
4.03E-6,7.6674396E-9
