s [m],sigma at t_1 [C/m^2],sigma at t_2 [C/m^2],sigma at t_3 [C/m^2],sigma at t_4 [C/m^2],sigma at t_5 [C/m^2],sigma at t_6 [C/m^2]
0,4.67792E-10,3.66752E-5,3.68418158024395E-4,2.65722494025666E-4,2.29868798382689E-4,2.39260054483473E-4
6.84377E-8,4.52344499769974E-10,3.66690420561032E-5,3.71928783531301E-4,2.70838147131877E-4,2.36476701036084E-4,2.46209891398799E-4
1.36875E-7,4.36896058865189E-10,3.66628841304465E-5,3.75439409038207E-4,2.75953800238088E-4,2.43084565068061E-4,2.53159687694191E-4
2.05313E-7,4.21651242827081E-10,3.66566281851825E-5,3.79027370270456E-4,2.81166206862953E-4,2.4969249668752E-4,2.60109555074466E-4
2.77263E-7,4.23110136067459E-10,3.66575622953513E-5,3.77624001284711E-4,2.79455222972939E-4,2.48006345665867E-4,2.58395106827584E-4
3.49214E-7,4.24720681975606E-10,3.6658740797525E-5,3.76143296573623E-4,2.77647485564271E-4,2.46329029428773E-4,2.5707450859376E-4
4.21164E-7,4.26297948707068E-10,3.66599227115303E-5,3.74627042095609E-4,2.75799519045774E-4,2.44651736503603E-4,2.55753928714069E-4
4.96808E-7,4.26847447299301E-10,3.66588931058695E-5,3.76154758201774E-4,2.77566455170909E-4,2.46622711818243E-4,2.57760378394397E-4
5.72452E-7,4.27347967089694E-10,3.6657712797441E-5,3.77718024074866E-4,2.79373620405873E-4,2.48673044428055E-4,2.59866334740007E-4
6.48095E-7,4.2783367310743E-10,3.6656532504616E-5,3.79325464345923E-4,2.81220387717929E-4,2.50723349932842E-4,2.61972263245255E-4
7.27621E-7,4.27667781702753E-10,3.66523641268234E-5,3.76793640798148E-4,2.77992102328649E-4,2.46923020254675E-4,2.57994191826131E-4
8.07147E-7,4.27437571809693E-10,3.66477598599377E-5,3.74217642852409E-4,2.74724214862277E-4,2.43015166487787E-4,2.53826863275468E-4
8.86674E-7,4.27198745368312E-10,3.66432274640581E-5,3.71545423188058E-4,2.71336576718212E-4,2.389629277436E-4,2.49698190965412E-4
9.70282E-7,4.27005491359183E-10,3.66478164263507E-5,3.72013515189776E-4,2.71984526333401E-4,2.39987145069113E-4,2.50821429856418E-4
1.05389E-6,4.26833595938384E-10,3.66540941386956E-5,3.72577828910106E-4,2.72752226626282E-4,2.41011362394627E-4,2.51944668747425E-4
1.1375E-6,4.26656753842544E-10,3.66603723923501E-5,3.73232944238827E-4,2.73622573622169E-4,2.42183641684242E-4,2.53100724149135E-4
1.2254E-6,4.26506322487185E-10,3.66499627590818E-5,3.72250120358097E-4,2.72460152110567E-4,2.41059351256741E-4,2.52196699484333E-4
1.3133E-6,4.26372883428062E-10,3.66351928340577E-5,3.71176494868976E-4,2.7119508389596E-4,2.3993506082924E-4,2.51292674819532E-4
1.4012E-6,4.26235682937702E-10,3.6620474958208E-5,3.69974890071315E-4,2.6979051739118E-4,2.38567095030817E-4,2.50195867817178E-4
1.49361E-6,4.26396129988356E-10,3.66198244310363E-5,3.69871557729474E-4,2.69612694795367E-4,2.38546221614373E-4,2.50180493920694E-4
1.58602E-6,4.2666495236583E-10,3.66241995871705E-5,3.69896204696171E-4,2.69574370489729E-4,2.38525348197929E-4,2.5016512002421E-4
1.67843E-6,4.26931087646872E-10,3.66285325394305E-5,3.70040326390065E-4,2.69658192490481E-4,2.38504474781485E-4,2.50149746127726E-4
1.77559E-6,4.26970004524887E-10,3.66170149321267E-5,3.69150256750484E-4,2.68590166457334E-4,2.37553795370286E-4,2.49197016342232E-4
1.87274E-6,4.26910141277024E-10,3.65984861739568E-5,3.68140712383706E-4,2.67399994117797E-4,2.36367946793977E-4,2.48016827831347E-4
1.96989E-6,4.26848692810458E-10,3.65799255907491E-5,3.67006289472576E-4,2.6607069666438E-4,2.35182098217668E-4,2.46836639320462E-4
2.07204E-6,4.26643098376313E-10,3.65760212034384E-5,3.66580160746003E-4,2.65452076266564E-4,2.34455707155353E-4,2.46303081461562E-4
2.17418E-6,4.26364794460363E-10,3.65807038395415E-5,3.66278910563782E-4,2.64972580982627E-4,2.33964243189598E-4,2.45928846740123E-4
2.27632E-6,4.26085230945559E-10,3.65853284240688E-5,3.66061827571262E-4,2.64577441076688E-4,2.33640671088128E-4,2.45713971270421E-4
2.3837E-6,4.26186009086779E-10,3.65799765833712E-5,3.65427580276622E-4,2.63938768751807E-4,2.33073397764929E-4,2.45227207536479E-4
2.49109E-6,4.26563932751727E-10,3.65675829153035E-5,3.64709165792281E-4,2.63215741048929E-4,2.32506071613146E-4,2.44740398471588E-4
2.59847E-6,4.26941416030534E-10,3.6555189912759E-5,3.63913396529918E-4,2.62408544965013E-4,2.31938798289946E-4,2.44253634737646E-4
2.70984E-6,4.27218987406882E-10,3.65378080879745E-5,3.63591202140909E-4,2.62015600154453E-4,2.31387028267724E-4,2.43703473121095E-4
2.82121E-6,4.27400812682927E-10,3.65164733658537E-5,3.63346362529922E-4,2.61706823724933E-4,2.30990673960061E-4,2.43282705765103E-4
2.93257E-6,4.27581997605534E-10,3.64951406172402E-5,3.63126938353767E-4,2.6141883233223E-4,2.30594355241363E-4,2.42861976190143E-4
3.04497E-6,4.27384729490022E-10,3.64865982439024E-5,3.6236716668504E-4,2.60630113736866E-4,2.29973252914208E-4,2.42446935114538E-4
3.15736E-6,4.26813576179496E-10,3.64909840014189E-5,3.61581979581481E-4,2.59820610104686E-4,2.29300059740911E-4,2.41962661312723E-4
3.26976E-6,4.26243905995034E-10,3.64953206367506E-5,3.60734082135856E-4,2.58941031244666E-4,2.28506452249518E-4,2.41386023486716E-4
3.38224E-6,4.2610759902439E-10,3.64823854634146E-5,3.60644969426017E-4,2.58862615123482E-4,2.28407966565183E-4,2.41248372165661E-4
3.49473E-6,4.26419863692799E-10,3.64516578219227E-5,3.60618567058246E-4,2.58854274230137E-4,2.28309472125008E-4,2.41110708606757E-4
3.60721E-6,4.26732099955654E-10,3.64209329756098E-5,3.60576407177472E-4,2.58829679352911E-4,2.28210986440672E-4,2.40973057285702E-4
3.71978E-6,4.26763206810926E-10,3.64043251152891E-5,3.60181033599842E-4,2.58424657324171E-4,2.27770601873792E-4,2.40571700468186E-4
3.83234E-6,4.26495188115299E-10,3.64027761419069E-5,3.59801417535214E-4,2.58035889279311E-4,2.27364532815853E-4,2.40198745656376E-4
3.94491E-6,4.26226629035119E-10,3.64011824139766E-5,3.59392914683609E-4,2.57613513214106E-4,2.26902380334638E-4,2.39785476233409E-4
4.05755E-6,4.2615658713969E-10,3.63889740931264E-5,3.59326346068137E-4,2.57609799826398E-4,2.26949074553585E-4,2.39876993588346E-4
4.17019E-6,4.26301439517559E-10,3.63653981199007E-5,3.59288664239643E-4,2.57639694459037E-4,2.26995768772533E-4,2.39968510943283E-4
