s [m],E [V/m],n_e [m^-3],n_i [m^-3]
1.00000000000057E-7,13892000,1.7082E18,1.6459E20
2.00000000000113E-7,13381000,2.8761E18,1.7533E20
4.0000000000001E-7,12914000,4.6055E18,1.9683E20
5.00000000000066E-7,12428000,7.0628E18,1.8976E20
6.99999999999963E-7,11939000,1.0498E19,1.8963E20
8.00000000000019E-7,11431000,1.5165E19,2.031E20
1.00000000000013E-6,10925000,2.1278E19,2.2459E20
1.09999999999997E-6,10394000,2.9103E19,2.2249E20
1.30000000000009E-6,9870500,3.9066E19,2.3015E20
1.39999999999993E-6,9334700,5.1514E19,2.5181E20
1.60000000000004E-6,8809700,6.6526E19,2.6445E20
1.7000000000001E-6,8281500,8.4259E19,2.7421E20
1.89999999999999E-6,7767700,1.0518E20,2.924E20
2.00000000000005E-6,7258800,1.2949E20,3.1796E20
2.19999999999995E-6,6768600,1.568E20,3.269E20
2.3E-6,6308100,1.8702E20,3.5707E20
2.50000000000012E-6,5857500,2.2052E20,3.8295E20
2.59999999999995E-6,5436700,2.5716E20,4.0144E20
2.80000000000007E-6,5041600,2.9609E20,4.3819E20
2.90000000000012E-6,4674700,3.3697E20,4.6735E20
3.10000000000002E-6,4336100,3.8024E20,4.9899E20
3.20000000000008E-6,4019100,4.2562E20,5.3538E20
3.39999999999997E-6,3732000,4.7201E20,5.7177E20
3.50000000000003E-6,3473100,5.1923E20,6.1076E20
3.69999999999993E-6,3233900,5.6779E20,6.5098E20
3.79999999999998E-6,3014400,6.1743E20,6.9217E20
4.0000000000001E-6,2817200,6.6717E20,7.3552E20
4.09999999999994E-6,2640200,7.1696E20,7.7861E20
4.30000000000005E-6,2479400,7.6739E20,8.2249E20
4.40000000000011E-6,2333700,8.1832E20,8.6739E20
4.6E-6,2203700,8.69E20,9.13E20
4.70000000000006E-6,2087900,9.1951E20,9.6007E20
4.89999999999996E-6,1979500,9.7036E20,1.0078E21
5.00000000000001E-6,1878400,1.0215E21,1.056E21
5.20000000000013E-6,1784200,1.0721E21,1.1047E21
5.29999999999997E-6,1695100,1.1222E21,1.1535E21
5.50000000000008E-6,1609700,1.1722E21,1.2018E21
5.60000000000014E-6,1529500,1.2221E21,1.2491E21
5.80000000000003E-6,1457200,1.2711E21,1.295E21
5.90000000000009E-6,1392400,1.3195E21,1.3421E21
6.09999999999999E-6,1330100,1.3677E21,1.3891E21
6.20000000000004E-6,1270700,1.4156E21,1.436E21
6.39999999999994E-6,1212200,1.4625E21,1.4834E21
6.5E-6,1154400,1.5085E21,1.5283E21
6.70000000000011E-6,1099600,1.5538E21,1.5725E21
6.79999999999995E-6,1047600,1.5985E21,1.6163E21
7.00000000000006E-6,998410,1.642E21,1.6588E21
7.10000000000012E-6,951960,1.6844E21,1.7003E21
7.30000000000001E-6,907490,1.726E21,1.7411E21
7.40000000000007E-6,864900,1.7668E21,1.7812E21
7.59999999999997E-6,824470,1.8063E21,1.8201E21
7.70000000000002E-6,786060,1.8446E21,1.8578E21
7.90000000000014E-6,749140,1.882E21,1.8946E21
7.99999999999998E-6,713640,1.9186E21,1.9307E21
8.20000000000009E-6,679810,1.9539E21,1.9654E21
8.29999999999993E-6,647520,1.9879E21,1.999E21
8.50000000000004E-6,616400,2.021E21,2.0316E21
8.6000000000001E-6,586390,2.0532E21,2.0634E21
8.8E-6,557670,2.0841E21,2.0939E21
8.90000000000005E-6,530190,2.1137E21,2.1231E21
9.09999999999995E-6,503610,2.1424E21,2.1515E21
9.20000000000001E-6,477910,2.1702E21,2.1789E21
9.40000000000012E-6,453240,2.1966E21,2.2051E21
9.49999999999996E-6,429540,2.2219E21,2.23E21
9.70000000000007E-6,406570,2.2462E21,2.254E21
9.80000000000013E-6,384300,2.2696E21,2.2771E21
1E-5,362850,2.2917E21,2.299E21
1.01000000000001E-5,342180,2.3126E21,2.3197E21
1.03E-5,322100,2.3327E21,2.3395E21
1.04E-5,302580,2.3518E21,2.3584E21
1.05999999999999E-5,283720,2.3697E21,2.3761E21
1.07E-5,265500,2.3865E21,2.3927E21
1.09000000000001E-5,247750,2.4024E21,2.4084E21
1.09999999999999E-5,230470,2.4174E21,2.4233E21
1.12000000000001E-5,213720,2.4312E21,2.437E21
1.13000000000001E-5,197510,2.4441E21,2.4496E21
1.15E-5,181680,2.456E21,2.4614E21
1.16000000000001E-5,166230,2.4671E21,2.4724E21
1.18E-5,151240,2.4772E21,2.4823E21
1.19E-5,136690,2.4862E21,2.4912E21
1.21000000000001E-5,122470,2.4945E21,2.4993E21
1.22E-5,108560,2.5019E21,2.5067E21
1.24000000000001E-5,95047,2.5084E21,2.513E21
1.24999999999999E-5,81898,2.5139E21,2.5184E21
1.27E-5,69035,2.5186E21,2.5231E21
1.28000000000001E-5,56451,2.5227E21,2.527E21
1.3E-5,44200,2.5258E21,2.53E21
1.31E-5,32267,2.528E21,2.5321E21
1.32999999999999E-5,20581,2.5295E21,2.5336E21
1.34E-5,9137.9,2.5304E21,2.5343E21
1.36000000000001E-5,-2008.9,2.5304E21,2.5343E21
1.37E-5,-12879,2.5297E21,2.5334E21
1.39000000000001E-5,-23535,2.5283E21,2.5319E21
1.40000000000001E-5,-33977,2.5263E21,2.5298E21
1.42E-5,-44158,2.5235E21,2.527E21
1.43000000000001E-5,-54088,2.52E21,2.5234E21
1.45E-5,-63820,2.5159E21,2.5193E21
1.46E-5,-73358,2.5113E21,2.5146E21
1.47999999999999E-5,-82656,2.506E21,2.5092E21
1.49E-5,-91724,2.5E21,2.5032E21
1.51000000000001E-5,-100610,2.4936E21,2.4966E21
1.51999999999999E-5,-109310,2.4867E21,2.4896E21
1.54E-5,-117790,2.4791E21,2.482E21
1.55000000000001E-5,-126050,2.471E21,2.4739E21
1.57E-5,-134130,2.4625E21,2.4652E21
1.58000000000001E-5,-142040,2.4535E21,2.4562E21
1.6E-5,-149750,2.444E21,2.4467E21
1.61E-5,-157240,2.434E21,2.4366E21
1.63000000000001E-5,-164570,2.4237E21,2.4262E21
1.64E-5,-171730,2.413E21,2.4154E21
1.66000000000001E-5,-178690,2.4018E21,2.4042E21
1.67000000000001E-5,-185450,2.3903E21,2.3926E21
1.69E-5,-192040,2.3784E21,2.3806E21
1.70000000000001E-5,-198480,2.3662E21,2.3684E21
1.72E-5,-204710,2.3537E21,2.3558E21
1.73E-5,-210740,2.3408E21,2.3429E21
1.74999999999999E-5,-216630,2.3277E21,2.3297E21
1.76E-5,-222350,2.3143E21,2.3163E21
1.78000000000001E-5,-227870,2.3007E21,2.3025E21
1.78999999999999E-5,-233210,2.2867E21,2.2885E21
1.81000000000001E-5,-238390,2.2726E21,2.2744E21
1.82000000000001E-5,-243410,2.2583E21,2.26E21
1.84E-5,-248230,2.2438E21,2.2454E21
1.85000000000001E-5,-252870,2.2291E21,2.2307E21
1.87E-5,-257350,2.2142E21,2.2157E21
1.88E-5,-261680,2.1993E21,2.2007E21
1.90000000000001E-5,-265810,2.1841E21,2.1855E21
1.91E-5,-269760,2.1689E21,2.1702E21
1.93000000000001E-5,-273550,2.1535E21,2.1548E21
1.93999999999999E-5,-277190,2.1381E21,2.1393E21
1.96E-5,-280640,2.1225E21,2.1237E21
1.97000000000001E-5,-283900,2.1069E21,2.108E21
1.99E-5,-287000,2.0913E21,2.0923E21
2.00000000000001E-5,-289960,2.0756E21,2.0766E21
2.01999999999999E-5,-292710,2.0599E21,2.0608E21
2.03E-5,-295280,2.0441E21,2.045E21
2.05000000000001E-5,-297690,2.0284E21,2.0292E21
2.06E-5,-299940,2.0127E21,2.0134E21
2.08000000000001E-5,-301990,1.997E21,1.9976E21
2.09000000000001E-5,-303830,1.9813E21,1.9818E21
2.11E-5,-305500,1.9656E21,1.9661E21
2.12000000000001E-5,-306990,1.95E21,1.9504E21
2.14E-5,-308230,1.9345E21,1.9348E21
2.15E-5,-309260,1.919E21,1.9192E21
2.16999999999999E-5,-310140,1.9035E21,1.9037E21
2.18E-5,-310870,1.8882E21,1.8883E21
2.20000000000001E-5,-311400,1.8729E21,1.873E21
2.20999999999999E-5,-311750,1.8578E21,1.8578E21
2.23000000000001E-5,-311970,1.8427E21,1.8427E21
2.24000000000001E-5,-312040,1.8278E21,1.8277E21
2.26E-5,-311910,1.813E21,1.8128E21
2.27000000000001E-5,-311600,1.7983E21,1.7981E21
2.29E-5,-311130,1.7838E21,1.7835E21
2.3E-5,-310510,1.7694E21,1.7691E21
2.32000000000001E-5,-309690,1.7552E21,1.7547E21
2.33E-5,-308670,1.7411E21,1.7406E21
2.35000000000001E-5,-307480,1.7272E21,1.7266E21
2.35999999999999E-5,-306140,1.7134E21,1.7128E21
2.38E-5,-304580,1.6998E21,1.6992E21
2.39000000000001E-5,-302820,1.6865E21,1.6857E21
