s [m],E [V/m],n_e [m^-3],n_i [m^-3]
2.00000000000113E-7,2392000,7.8997E16,2.3833E19
5.00000000000066E-7,2226033.33333333,1.1428E17,2.7189E19
6.99999999999746E-7,2146500,1.8126E17,2.5657E19
1.00000000000013E-6,1992333.33333333,2.5299E17,2.3378E19
1.19999999999981E-6,1916000,3.7673E17,2.5699E19
1.49999999999977E-6,1769133.3066043,5.1216E17,2.9049E19
1.69999999999988E-6,1698600,7.246E17,2.8544E19
1.99999999999983E-6,1566133.33333333,9.652E17,2.6607E19
2.19999999999995E-6,1503000,1.307E18,2.7876E19
2.4999999999999E-6,1383900.04244308,1.7167E18,3.13E19
2.70000000000001E-6,1327900,2.2316E18,3.2682E19
2.99999999999996E-6,1219999.98006691,2.8946E18,3.1188E19
3.20000000000008E-6,1167400,3.6222E18,3.0588E19
3.39999999999976E-6,1098200,4.6552E18,3.423E19
3.70000000000014E-6,1029600,5.6875E18,3.7864E19
3.89999999999982E-6,960750,7.1512E18,3.754E19
4.19999999999978E-6,904750,8.6782E18,3.6629E19
4.39999999999989E-6,851130,1.0529E19,3.8288E19
4.69999999999984E-6,782876.689606143,1.2683E19,4.2361E19
4.89999999999996E-6,752610,1.4908E19,4.5844E19
5.19999999999991E-6,693980.022312936,1.7758E19,4.5567E19
5.40000000000002E-6,664540,2.0628E19,4.5468E19
5.69999999999998E-6,613746.631216586,2.3956E19,4.9883E19
5.90000000000009E-6,590360,2.7598E19,5.4552E19
6.20000000000004E-6,544306.68393696,3.1443E19,5.7324E19
6.40000000000016E-6,521520,3.5553E19,5.9056E19
6.70000000000011E-6,483289.971017437,3.9972E19,6.1892E19
6.89999999999979E-6,464170,4.4574E19,6.6896E19
7.20000000000018E-6,426270.013960743,4.9433E19,7.0815E19
7.39999999999985E-6,407850,5.4485E19,7.353E19
7.69999999999981E-6,376259.976049974,5.9838E19,7.7805E19
7.89999999999992E-6,360460,6.5284E19,8.2733E19
8.19999999999987E-6,329343.355787712,7.0734E19,8.808E19
8.39999999999999E-6,314530,7.6358E19,9.2137E19
8.69999999999994E-6,288003.333333333,8.1977E19,9.6222E19
8.90000000000005E-6,274730,8.7589E19,1.0042E20
9.20000000000001E-6,248546.666666667,9.3241E19,1.0535E20
9.40000000000012E-6,235980,9.8898E19,1.1046E20
9.5999999999998E-6,219300,1.0455E20,1.1566E20
9.89999999999975E-6,202600,1.1009E20,1.2046E20
1.00999999999999E-5,185900,1.1561E20,1.2518E20
1.03999999999998E-5,169740,1.2114E20,1.2993E20
1.05999999999999E-5,155800,1.2649E20,1.3469E20
1.08999999999999E-5,141860,1.317E20,1.3948E20
1.11E-5,127910,1.369E20,1.4428E20
1.14E-5,110239.97689887,1.4205E20,1.4905E20
1.16000000000001E-5,102620,1.4679E20,1.5344E20
1.19E-5,87361.6782303686,1.5153E20,1.5784E20
1.21000000000001E-5,79733,1.5627E20,1.6224E20
1.24000000000001E-5,65146.009528458,1.6089E20,1.6654E20
1.25999999999998E-5,58860,1.6506E20,1.7047E20
1.29000000000002E-5,46806.6666666667,1.6923E20,1.7441E20
1.30999999999998E-5,40780,1.734E20,1.7835E20
1.33999999999998E-5,29223.3333333333,1.773E20,1.8203E20
1.35999999999999E-5,24194,1.8077E20,1.8531E20
1.38999999999999E-5,15392.3199900562,1.8425E20,1.886E20
1.41E-5,10991,1.8772E20,1.9188E20
1.43999999999999E-5,2519.43905694808,1.9095E20,1.9493E20
1.46E-5,-1218.90002441406,1.9368E20,1.975E20
1.49E-5,-6521.02918457982,1.9641E20,2.0008E20
1.51000000000001E-5,-9172.099609375,1.9914E20,2.0265E20
1.54E-5,-14335.3405264147,2.0172E20,2.0508E20
1.56000000000002E-5,-16708,2.0371E20,2.0693E20
1.59000000000001E-5,-18089.6624749131,2.057E20,2.0878E20
1.60999999999998E-5,-18781,2.0768E20,2.1063E20
1.62999999999999E-5,-19817,2.0965E20,2.1246E20
1.65999999999999E-5,-20853,2.1094E20,2.1363E20
1.68E-5,-18868,2.1224E20,2.1479E20
1.70999999999999E-5,-16564,2.1354E20,2.1596E20
1.73E-5,-14261,2.1483E20,2.1713E20
1.76E-5,-11959,2.1562E20,2.178E20
1.78000000000001E-5,-7182.39990234375,2.1632E20,2.1836E20
1.81000000000001E-5,833.821261181713,2.1701E20,2.1893E20
1.83000000000002E-5,4842.7001953125,2.177E20,2.195E20
1.86000000000001E-5,13405.3178516426,2.181E20,2.1977E20
1.87999999999998E-5,18512,2.1832E20,2.1985E20
1.90999999999998E-5,31646.6865704221,2.1853E20,2.1993E20
1.92999999999999E-5,38212,2.1874E20,2.2001E20
1.95999999999998E-5,51554.354544738,2.1883E20,2.1996E20
1.97999999999999E-5,58551,2.1871E20,2.197E20
2.00999999999999E-5,76227.6934765078,2.1859E20,2.1943E20
2.03E-5,85071,2.1847E20,2.1917E20
2.06E-5,102748.026805799,2.1834E20,2.1889E20
2.08000000000001E-5,111590,2.1807E20,2.1845E20
2.11E-5,132080.031225936,2.1779E20,2.1801E20
2.13000000000001E-5,142380,2.1752E20,2.1758E20
2.16000000000001E-5,162966.697872392,2.1725E20,2.1714E20
2.17999999999998E-5,173260,2.1701E20,2.1672E20
2.21000000000002E-5,194159.93633547,2.1678E20,2.163E20
2.22999999999998E-5,204660,2.1655E20,2.1588E20
2.25999999999998E-5,225649.93633547,2.1632E20,2.1546E20
2.27999999999999E-5,236150,2.1626E20,2.1521E20
2.3E-5,251060,2.1629E20,2.1503E20
2.33E-5,265010,2.1631E20,2.1486E20
2.35000000000001E-5,278940,2.1634E20,2.1468E20
2.38E-5,292880,2.1658E20,2.1472E20
2.40000000000002E-5,306130,2.171E20,2.1504E20
2.43000000000001E-5,316920,2.1762E20,2.1536E20
2.44999999999998E-5,327720,2.1814E20,2.1568E20
2.48000000000002E-5,342133.311485151,2.188E20,2.1616E20
2.49999999999998E-5,349340,2.2007E20,2.1727E20
2.52999999999998E-5,358766.652498696,2.2133E20,2.1838E20
2.54999999999999E-5,363440,2.226E20,2.1949E20
2.57999999999999E-5,372783.347481007,2.2386E20,2.206E20
2.6E-5,377450,2.2606E20,2.2273E20
2.62999999999999E-5,383496.673497972,2.2831E20,2.2491E20
2.65E-5,385750,2.3056E20,2.2709E20
2.68E-5,390256.673497972,2.3281E20,2.2928E20
2.70000000000001E-5,392510,2.3591E20,2.3239E20
2.73000000000001E-5,395613.33389924,2.3936E20,2.3588E20
2.74999999999997E-5,395800,2.428E20,2.3936E20
2.78000000000001E-5,396173.33389924,2.4625E20,2.4285E20
2.79999999999998E-5,396360,2.5033E20,2.4701E20
2.82999999999998E-5,396283.331110128,2.5513E20,2.5194E20
2.84999999999999E-5,395550,2.5992E20,2.5687E20
2.87999999999998E-5,392753.341781515,2.6471E20,2.6179E20
2.89999999999999E-5,391360,2.6983E20,2.6706E20
2.92999999999999E-5,388563.341781515,2.7605E20,2.7347E20
2.95E-5,387170,2.8228E20,2.7988E20
2.97000000000001E-5,383190,2.8851E20,2.863E20
3.00000000000001E-5,379120,2.9474E20,2.9272E20
